,precision,recall,f1-score,support
0,0.9515331355093967,0.962,0.956737941322725,1000.0
1,0.980980980980981,0.98,0.9804902451225613,1000.0
2,0.9480651731160896,0.931,0.9394550958627649,1000.0
3,0.9052523171987642,0.879,0.8919330289193302,1000.0
4,0.9543650793650794,0.962,0.9581673306772909,1000.0
5,0.9040156709108716,0.923,0.9134092033646709,1000.0
6,0.9623389494549058,0.971,0.966650074664012,1000.0
7,0.9749247743229689,0.972,0.9734601902854282,1000.0
8,0.967098703888335,0.97,0.9685471792311533,1000.0
9,0.96996996996997,0.969,0.9694847423711856,1000.0
accuracy,0.9519,0.9519,0.9519,0.9519
macro avg,0.9518544754717361,0.9519,0.9518335031821122,10000.0
weighted avg,0.9518544754717361,0.9519,0.9518335031821121,10000.0
