,precision,recall,f1-score,support
0,0.8623853211009175,0.94,0.8995215311004785,100.0
1,0.8979591836734694,0.88,0.8888888888888888,100.0
2,0.6355140186915887,0.68,0.6570048309178744,100.0
3,0.7419354838709677,0.69,0.7150259067357513,100.0
4,0.673469387755102,0.66,0.6666666666666666,100.0
5,0.7522123893805309,0.85,0.7981220657276995,100.0
6,0.8556701030927835,0.83,0.8426395939086294,100.0
7,0.8469387755102041,0.83,0.8383838383838383,100.0
8,0.900990099009901,0.91,0.9054726368159204,100.0
9,0.89,0.89,0.89,100.0
10,0.675,0.54,0.6,100.0
11,0.627906976744186,0.54,0.5806451612903226,100.0
12,0.8817204301075269,0.82,0.8497409326424871,100.0
13,0.8160919540229885,0.71,0.7593582887700535,100.0
14,0.8020833333333334,0.77,0.7857142857142857,100.0
15,0.819047619047619,0.86,0.8390243902439024,100.0
16,0.8076923076923077,0.84,0.8235294117647058,100.0
17,0.8571428571428571,0.9,0.8780487804878049,100.0
18,0.8108108108108109,0.6,0.6896551724137931,100.0
19,0.8690476190476191,0.73,0.7934782608695652,100.0
20,0.8811881188118812,0.89,0.8855721393034826,100.0
21,0.8878504672897196,0.95,0.9178743961352657,100.0
22,0.8350515463917526,0.81,0.8223350253807107,100.0
23,0.8,0.88,0.8380952380952381,100.0
24,0.9659090909090909,0.85,0.9042553191489362,100.0
25,0.7473684210526316,0.71,0.7282051282051282,100.0
26,0.7653061224489796,0.75,0.7575757575757576,100.0
27,0.7053571428571429,0.79,0.7452830188679245,100.0
28,0.8252427184466019,0.85,0.8374384236453202,100.0
29,0.8191489361702128,0.77,0.7938144329896907,100.0
30,0.6666666666666666,0.76,0.7102803738317757,100.0
31,0.8279569892473119,0.77,0.7979274611398963,100.0
32,0.7684210526315789,0.73,0.7487179487179487,100.0
33,0.7142857142857143,0.7,0.7070707070707071,100.0
34,0.8058252427184466,0.83,0.8177339901477833,100.0
35,0.5849056603773585,0.62,0.6019417475728155,100.0
36,0.8645833333333334,0.83,0.8469387755102041,100.0
37,0.8556701030927835,0.83,0.8426395939086294,100.0
38,0.7075471698113207,0.75,0.7281553398058253,100.0
39,0.8942307692307693,0.93,0.9117647058823529,100.0
40,0.8172043010752689,0.76,0.7875647668393783,100.0
41,0.9215686274509803,0.94,0.9306930693069307,100.0
42,0.8020833333333334,0.77,0.7857142857142857,100.0
43,0.90625,0.87,0.8877551020408163,100.0
44,0.5980392156862745,0.61,0.6039603960396039,100.0
45,0.7375,0.59,0.6555555555555556,100.0
46,0.6179775280898876,0.55,0.582010582010582,100.0
47,0.65,0.65,0.65,100.0
48,0.9223300970873787,0.95,0.9359605911330049,100.0
49,0.8165137614678899,0.89,0.8516746411483254,100.0
50,0.6326530612244898,0.62,0.6262626262626263,100.0
51,0.8526315789473684,0.81,0.8307692307692308,100.0
52,0.6086956521739131,0.7,0.6511627906976745,100.0
53,0.8785046728971962,0.94,0.9082125603864735,100.0
54,0.8108108108108109,0.9,0.8530805687203792,100.0
55,0.6060606060606061,0.6,0.6030150753768844,100.0
56,0.89,0.89,0.89,100.0
57,0.7232142857142857,0.81,0.7641509433962265,100.0
58,0.9081632653061225,0.89,0.898989898989899,100.0
59,0.6320754716981132,0.67,0.6504854368932039,100.0
60,0.88,0.88,0.88,100.0
61,0.7623762376237624,0.77,0.7661691542288557,100.0
62,0.7821782178217822,0.79,0.7860696517412935,100.0
63,0.7835051546391752,0.76,0.7715736040609137,100.0
64,0.8805970149253731,0.59,0.7065868263473054,100.0
65,0.5982905982905983,0.7,0.6451612903225806,100.0
66,0.8461538461538461,0.88,0.8627450980392157,100.0
67,0.6442307692307693,0.67,0.6568627450980392,100.0
68,0.8434782608695652,0.97,0.9023255813953488,100.0
69,0.8113207547169812,0.86,0.8349514563106796,100.0
70,0.7835051546391752,0.76,0.7715736040609137,100.0
71,0.7889908256880734,0.86,0.8229665071770335,100.0
72,0.5196078431372549,0.53,0.5247524752475248,100.0
73,0.5818181818181818,0.64,0.6095238095238096,100.0
74,0.5849056603773585,0.62,0.6019417475728155,100.0
75,0.898989898989899,0.89,0.8944723618090452,100.0
76,0.8468468468468469,0.94,0.8909952606635071,100.0
77,0.8172043010752689,0.76,0.7875647668393783,100.0
78,0.6574074074074074,0.71,0.6826923076923077,100.0
79,0.7818181818181819,0.86,0.819047619047619,100.0
80,0.6979166666666666,0.67,0.6836734693877551,100.0
81,0.8055555555555556,0.87,0.8365384615384616,100.0
82,0.91,0.91,0.91,100.0
83,0.8255813953488372,0.71,0.7634408602150538,100.0
84,0.8488372093023255,0.73,0.7849462365591398,100.0
85,0.8932038834951457,0.92,0.9064039408866995,100.0
86,0.7938144329896907,0.77,0.7817258883248731,100.0
87,0.7982456140350878,0.91,0.8504672897196262,100.0
88,0.9,0.81,0.8526315789473684,100.0
89,0.7983193277310925,0.95,0.867579908675799,100.0
90,0.7938144329896907,0.77,0.7817258883248731,100.0
91,0.826530612244898,0.81,0.8181818181818182,100.0
92,0.7419354838709677,0.69,0.7150259067357513,100.0
93,0.7954545454545454,0.7,0.7446808510638298,100.0
94,0.8962264150943396,0.95,0.9223300970873787,100.0
95,0.7653061224489796,0.75,0.7575757575757576,100.0
96,0.717391304347826,0.66,0.6875,100.0
97,0.8415841584158416,0.85,0.845771144278607,100.0
98,0.6448598130841121,0.69,0.6666666666666666,100.0
99,0.7314814814814815,0.79,0.7596153846153846,100.0
accuracy,0.7823,0.7823,0.7823,0.7823
macro avg,0.7839769381545851,0.7822999999999999,0.7814601530352218,10000.0
weighted avg,0.7839769381545852,0.7823,0.7814601530352216,10000.0
